# BTC Strategie - Chronological Trades
# Generated: 2026-03-13 09:18:40
# Output File: d:\Benutzerdaten\OneDrive\Dokumente\GitHub\PythonProjects\Coincall\Output Ergebnisse\Matrix_Test_913944\Individual_Tests\004_ET0305_SL70_ChronologicalTrades.csv
# Date Range Filter: 2025-01-01 to 2025-08-14
# Total Trades: 133
# P&L Type: realized only (position_pnl = P&L per closed position)
# Straddle: TP/SL gilt fuer gesamten Kombinationswert (Put+Call), nicht pro Einzelleg. Straddle wird gemeinsam eroeffnet und geschlossen.
# Total PnL (realized): "$4,509.04"
# Final Capital (realized): "$14,509.04"
# Final Capital (incl. unrealized): "$14,509.04"
# Max Drawdown: -3.12%
# Total Transactions: 267
# Unique Positions: 134
# P&L Type: realized only (position_pnl = P&L per closed position)
#
timestamp,time,position_id,combo_id,leg_label,action,exit_reason,quantity,underlying_price,reference_price_used_helper,trigger_helper_price,reference_iv,trigger_helper_iv,entry_price,close_price,leg_number,Type,Expiration,Delta,Entry Delta,days_in_trade,position_pnl,leg_fee_usd,Net_Trade_Cost_USD,Net_Trade_Cost_USD_Currency,strike,entry_price_usd,exit_price_usd,leg1_option_type,leg2_option_type
2025-04-17,18:08:00,OPTION_2025-04-17_001,Kombo OPTION_2025-04-17_001,Leg 1,CLOSE,take_profit,1,85201.0,,,,,,0.0001,1,P,2025-04-18,-0.0957,-0.0957,0,97.48216000000001,11.928139999999999,-20.44824,USD,81000.0,,0.0001,,
2025-04-18,03:05:00,OPTION_2025-04-18_001,Kombo OPTION_2025-04-18_001,Leg 1 (P),OPEN,,-1,84828.0,,,,,0.0013,,1,P,2025-04-19,-0.12841,,,,0.0,110.2764,USD,83000.0,0.0013,,,
2025-04-18,21:33:00,OPTION_2025-04-18_001,Kombo OPTION_2025-04-18_001,Leg 1,CLOSE,take_profit,1,84615.0,,,,,,0.0001,1,P,2025-04-19,-0.12841,-0.12841,0,89.9688,11.846099999999998,-20.307599999999997,USD,83000.0,,0.0001,,
2025-04-19,03:05:00,OPTION_2025-04-19_001,Kombo OPTION_2025-04-19_001,Leg 1 (P),OPEN,,-1,84876.0,,,,,0.0007,,1,P,2025-04-20,-0.13965,,,,0.0,59.413199999999996,USD,84000.0,0.0007,,,
2025-04-20,03:05:00,OPTION_2025-04-20_002,Kombo OPTION_2025-04-20_002,Leg 1 (P),OPEN,,-1,85252.0,,,,,0.0006,,1,P,2025-04-21,-0.07475,,,,0.0,51.151199999999996,USD,83000.0,0.0006,,,
2025-04-20,07:30:00,OPTION_2025-04-20_002,Kombo OPTION_2025-04-20_002,Leg 1,CLOSE,stop_loss,1,84746.0,,,,,,0.0011,1,P,2025-04-21,-0.07475,-0.07475,0,-53.933840000000004,11.864439999999998,-105.08504,USD,83000.0,,0.0011,,
2025-04-20,08:00:00,OPTION_2025-04-19_001,Kombo OPTION_2025-04-19_001,Leg 1,CLOSE,expiry,1,84760.0,,,,,,0.0,1,P,2025-04-20,-0.13965,-0.13965,1,59.413199999999996,0.0,-0.0,USD,84000.0,,0.0,,
2025-04-21,03:05:00,OPTION_2025-04-21_001,Kombo OPTION_2025-04-21_001,Leg 1 (P),OPEN,,-1,87547.0,,,,,0.0011,,1,P,2025-04-22,-0.07841,,,,0.0,96.30170000000001,USD,84000.0,0.0011,,,
2025-04-21,19:21:00,OPTION_2025-04-21_001,Kombo OPTION_2025-04-21_001,Leg 1,CLOSE,take_profit,1,87263.0,,,,,,0.0001,1,P,2025-04-22,-0.07841,-0.07841,0,75.35858000000002,12.216819999999998,-20.943119999999997,USD,84000.0,,0.0001,,
2025-04-22,03:05:00,OPTION_2025-04-22_001,Kombo OPTION_2025-04-22_001,Leg 1 (P),OPEN,,-1,88133.0,,,,,0.0012,,1,P,2025-04-23,-0.09091,,,,0.0,105.75959999999999,USD,85000.0,0.0012,,,
